41.0°	17.75	21.47	28.64	35.72	38.35	38.07	38.07	38.35	35.72	28.64	21.47	17.75
41.5°	17.57	21.31	28.57	35.79	38.51	38.25	38.25	38.51	35.79	28.57	21.31	17.57
42.0°	17.38	21.15	28.50	35.86	38.67	38.44	38.44	38.67	35.86	28.50	21.15	17.38
42.5°	17.20	20.98	28.42	35.94	38.84	38.63	38.63	38.84	35.94	28.42	20.98	17.20
43.0°	17.00	20.81	28.34	36.02	39.01	38.82	38.82	39.01	36.02	28.34	20.81	17.00
43.5°	16.81	20.64	28.27	36.10	39.18	39.01	39.01	39.18	36.10	28.27	20.64	16.81
44.0°	16.61	20.46	28.18	36.18	39.36	39.21	39.21	39.36	36.18	28.18	20.46	16.61
44.5°	16.41	20.28	28.10	36.26	39.54	39.41	39.41	39.54	36.26	28.10	20.28	16.41
45.0°	16.20	20.09	28.02	36.35	39.72	39.62	39.62	39.72	36.35	28.02	20.09	16.20
45.5°	15.99	19.90	27.93	36.43	39.91	39.83	39.83	39.91	36.43	27.93	19.90	15.99
46.0°	15.78	19.71	27.84	36.52	40.11	40.04	40.04	40.11	36.52	27.84	19.71	15.78
46.5°	15.56	19.51	27.74	36.62	40.31	40.26	40.26	40.31	36.62	27.74	19.51	15.56
47.0°	15.34	19.31	27.65	36.71	40.51	40.48	40.48	40.51	36.71	27.65	19.31	15.34
47.5°	15.12	19.10	27.55	36.81	40.72	40.70	40.70	40.72	36.81	27.55	19.10	15.12
48.0°	14.89	18.89	27.45	36.91	40.93	40.94	40.94	40.93	36.91	27.45	18.89	14.89
48.5°	14.65	18.67	27.34	37.02	41.15	41.17	41.17	41.15	37.02	27.34	18.67	14.65
49.0°	14.41	18.44	27.23	37.13	41.37	41.41	41.41	41.37	37.13	27.23	18.44	14.41
49.5°	14.17	18.21	27.12	37.24	41.60	41.66	41.66	41.60	37.24	27.12	18.21	14.17
50.0°	13.92	17.97	27.00	37.36	41.84	41.91	41.91	41.84	37.36	27.00	17.97	13.92
50.5°	13.66	17.73	26.88	37.48	42.09	42.16	42.16	42.09	37.48	26.88	17.73	13.66
51.0°	13.40	17.48	26.76	37.60	42.34	42.42	42.42	42.34	37.60	26.76	17.48	13.40
51.5°	13.13	17.22	26.63	37.74	42.60	42.69	42.69	42.60	37.74	26.63	17.22	13.13
52.0°	12.86	16.95	26.49	37.87	42.86	42.96	42.96	42.86	37.87	26.49	16.95	12.86
52.5°	12.58	16.68	26.35	38.01	43.14	43.25	43.25	43.14	38.01	26.35	16.68	12.58
53.0°	12.29	16.39	26.20	38.16	43.42	43.53	43.53	43.42	38.16	26.20	16.39	12.29
53.5°	12.00	16.10	26.04	38.32	43.72	43.83	43.83	43.72	38.32	26.04	16.10	12.00
54.0°	11.69	15.80	25.88	38.48	44.02	44.13	44.13	44.02	38.48	25.88	15.80	11.69
54.5°	11.38	15.48	25.71	38.65	44.34	44.44	44.44	44.34	38.65	25.71	15.48	11.38
55.0°	11.07	15.15	25.53	38.83	44.66	44.76	44.76	44.66	38.83	25.53	15.15	11.07
55.5°	10.74	14.82	25.34	39.02	45.00	45.08	45.08	45.00	39.02	25.34	14.82	10.74
56.0°	10.40	14.46	25.14	39.22	45.35	45.42	45.42	45.35	39.22	25.14	14.46	10.40
56.5°	10.06	14.10	24.93	39.43	45.72	45.76	45.76	45.72	39.43	24.93	14.10	10.06
57.0°	9.70	13.72	24.71	39.66	46.10	46.12	46.12	46.10	39.66	24.71	13.72	9.70
57.5°	9.34	13.32	24.47	39.90	46.50	46.48	46.48	46.50	39.90	24.47	13.32	9.34
58.0°	8.96	12.90	24.21	40.15	46.91	46.86	46.86	46.91	40.15	24.21	12.90	8.96
58.5°	8.57	12.47	23.94	40.43	47.35	47.25	47.25	47.35	40.43	23.94	12.47	8.57
59.0°	8.17	12.01	23.64	40.72	47.80	47.65	47.65	47.80	40.72	23.64	12.01	8.17
59.5°	7.76	11.53	23.32	41.04	48.28	48.06	48.06	48.28	41.04	23.32	11.53	7.76
60.0°	7.33	11.03	22.97	41.39	48.79	48.49	48.49	48.79	41.39	22.97	11.03	7.33
60.5°	6.89	10.50	22.60	41.77	49.32	48.93	48.93	49.32	41.77	22.60	10.50	6.89
61.0°	6.44	9.94	22.18	42.18	49.88	49.38	49.38	49.88	42.18	22.18	9.94	6.44
61.5°	5.97	9.34	21.72	42.65	50.47	49.86	49.86	50.47	42.65	21.72	9.34	5.97
62.0°	5.48	8.71	21.20	43.16	51.11	50.35	50.35	51.11	43.16	21.20	8.71	5.48
62.5°	4.97	8.04	20.61	43.75	51.78	50.85	50.85	51.78	43.75	20.61	8.04	4.97
63.0°	4.44	7.32	19.95	44.42	52.50	51.38	51.38	52.50	44.42	19.95	7.32	4.44
63.5°	3.90	6.54	19.17	45.19	53.27	51.93	51.93	53.27	45.19	19.17	6.54	3.90
64.0°	3.33	5.71	18.25	46.12	54.11	52.50	52.50	54.11	46.12	18.25	5.71	3.33
64.5°	2.73	4.80	17.12	47.24	55.01	53.09	53.09	55.01	47.24	17.12	4.80	2.73
65.0°	2.12	3.82	15.69	48.67	56.00	53.71	53.71	56.00	48.67	15.69	3.82	2.12
65.5°	1.47	2.73	13.77	50.59	57.09	54.35	54.35	57.09	50.59	13.77	2.73	1.47
66.0°	0.80	1.53	10.86	53.50	58.29	55.02	55.02	58.29	53.50	10.86	1.53	0.80
66.5°	0.09	0.18	4.20	60.16	59.63	55.73	55.73	59.63	60.16	4.20	0.18	0.09
67.0°	359.35	358.66	-	-	61.16	56.47	56.47	61.16	-	-	358.66	359.35
67.5°	358.58	356.90	-	-	62.92	57.24	57.24	62.92	-	-	356.90	358.58
68.0°	357.76	354.81	-	-	65.00	58.06	58.06	65.00	-	-	354.81	357.76
68.5°	356.90	352.26	-	-	67.56	58.92	58.92	67.56	-	-	352.26	356.90
69.0°	356.00	348.92	-	-	70.89	59.82	59.82	70.89	-	-	348.92	356.00
69.5°	355.04	343.88	-	-	75.94	60.78	60.78	75.94	-	-	343.88	355.04
70.0°	354.03	-	-	-	-	61.79	61.79	-	-	-	-	354.03
70.5°	352.95	-	-	-	-	62.87	62.87	-	-	-	-	352.95
71.0°	351.80	-	-	-	-	64.02	64.02	-	-	-	-	351.80
71.5°	350.58	-	-	-	-	65.24	65.24	-	-	-	-	350.58
72.0°	349.26	-	-	-	-	66.56	66.56	-	-	-	-	349.26
72.5°	347.85	-	-	-	-	67.97	67.97	-	-	-	-	347.85
73.0°	346.33	-	-	-	-	69.49	69.49	-	-	-	-	346.33
73.5°	344.67	-	-	-	-	71.15	71.15	-	-	-	-	344.67
74.0°	342.87	-	-	-	-	72.96	72.96	-	-	-	-	342.87
74.5°	340.88	-	-	-	-	74.94	74.94	-	-	-	-	340.88
75.0°	338.69	-	-	-	-	77.14	77.14	-	-	-	-	338.69
75.5°	336.23	-	-	-	-	79.60	79.60	-	-	-	-	336.23
76.0°	333.44	-	-	-	-	82.38	82.38	-	-	-	-	333.44
76.5°	330.22	-	-	-	-	85.60	85.60	-	-	-	-	330.22
77.0°	326.40	-	-	-	-	89.42	89.42	-	-	-	-	326.40
77.5°	321.66	-	-	-	-	94.16	94.16	-	-	-	-	321.66
78.0°	315.23	-	-	-	-	100.59	100.59	-	-	-	-	315.23
78.5°	302.07	-	-	-	-	113.75	113.75	-	-	-	-	302.07
